Unnamed: 0,plant1_train_mea_ddhr,plant1_train_tem_in_loc1,plant1_train_hum_in_loc1,plant1_train_tem_coil_loc1,plant1_train_tem_in_loc2,plant1_train_hum_in_loc2,plant1_train_tem_coil_loc2,plant1_train_tem_in_loc3,plant1_train_hum_in_loc3,plant1_train_tem_coil_loc3,plant1_train_tem_out_loc1,plant1_train_hum_out_loc1,plant1_train_cond_loc1,plant1_train_cond_loc2,plant1_train_cond_loc3,year,moth,day,hour,min
1,2016-04-01 0:00,16.0,24.0,11.0,14.0,23.0,11.0,13.0,32.0,10.0,9.0,42.0,0.0,0.0,0.0,2016,4,1,0,0
2,2016-04-01 3:00,14.0,28.0,10.0,12.0,32.0,9.0,11.0,42.0,7.0,7.0,59.0,0.0,0.0,0.0,2016,4,1,3,0
3,2016-04-01 6:00,13.0,33.0,10.0,11.0,37.0,9.0,10.0,44.0,7.0,6.0,56.0,0.0,0.0,0.0,2016,4,1,6,0
4,2016-04-01 9:00,13.0,33.0,10.0,11.0,35.0,9.0,10.0,41.0,8.0,18.0,30.0,0.0,0.0,0.0,2016,4,1,9,0
5,2016-04-01 12:00,16.0,28.0,10.0,15.0,27.0,11.0,14.0,30.0,9.0,18.0,20.0,0.0,0.0,0.0,2016,4,1,12,0
6,2016-04-01 15:00,18.0,24.0,14.0,18.0,21.0,14.0,16.0,27.0,12.0,17.0,23.0,0.0,0.0,0.0,2016,4,1,15,0
7,2016-04-01 18:00,17.0,28.0,14.0,17.0,29.0,14.0,15.0,38.0,12.0,12.0,52.0,0.0,0.0,0.0,2016,4,1,18,0
8,2016-04-01 21:00,16.0,38.0,12.0,15.0,36.0,12.0,14.0,41.0,11.0,11.0,55.0,0.0,0.0,0.0,2016,4,1,21,0
9,2016-04-02 0:00,15.0,41.0,12.0,14.0,43.0,12.0,13.0,49.0,11.0,10.0,57.0,0.0,0.0,0.0,2016,4,2,0,0
10,2016-04-02 3:00,14.0,41.0,10.0,12.0,44.0,9.0,12.0,49.0,8.0,10.0,54.0,0.0,0.0,0.0,2016,4,2,3,0
11,2016-04-02 6:00,13.0,38.0,11.0,11.0,42.0,10.0,11.0,47.0,9.0,9.0,52.0,0.0,0.0,0.0,2016,4,2,6,0
12,2016-04-02 9:00,14.0,41.0,11.0,12.0,45.0,10.0,11.0,49.0,10.0,17.0,37.0,0.0,0.0,0.0,2016,4,2,9,0
13,2016-04-02 12:00,17.0,35.0,13.0,16.0,38.0,12.0,15.0,40.0,11.0,22.0,23.0,0.0,0.0,0.0,2016,4,2,12,0
