,plant1_train_mea_ddhr,plant1_train_tem_in_loc1,plant1_train_hum_in_loc1,plant1_train_tem_coil_loc1,plant1_train_tem_out_loc1,plant1_train_hum_out_loc1,24hour_cond_loc1
2842,2017-01-25 16:00,4.84,36.39,2.74,-0.35,48.75,0.0
2843,2017-01-25 17:00,4.51,37.88,2.7,-0.71,50.27,0.0
2844,2017-01-25 18:00,4.44,41.21,2.66,-1.2,56.07,0.0
2845,2017-01-25 19:00,4.17,44.51,2.47,-0.81,58.46,0.0
2846,2017-01-25 20:00,3.93,48.29,2.62,-0.84,59.68,0.0
2847,2017-01-25 21:00,4.05,43.71,2.24,-1.78,60.93,0.0
2848,2017-01-25 22:00,3.35,43.25,2.16,-3.61,64.99,0.0
2849,2017-01-25 23:00,2.89,44.14,2.09,-4.32,69.54,0.0
2850,2017-01-26 0:00,2.46,44.57,1.97,-5.08,75.31,0.0
2851,2017-01-26 1:00,1.85,46.31,1.82,-5.72,75.46,0.0
2852,2017-01-26 2:00,1.15,47.37,1.48,-6.03,76.5,1.0
2853,2017-01-26 3:00,0.72,48.78,1.36,-6.06,75.55,0.0
2854,2017-01-26 4:00,0.81,48.6,1.44,-6.36,75.82,0.0
2855,2017-01-26 5:00,0.6,48.11,1.48,-6.73,77.2,0.0
2856,2017-01-26 6:00,0.35,48.63,1.25,-6.82,79.67,0.0
2857,2017-01-26 7:00,-0.01,52.01,0.94,-7.22,82.75,0.0
2858,2017-01-26 8:00,-0.13,51.47,1.06,-7.34,81.5,0.0
2859,2017-01-26 9:00,0.05,52.32,1.67,-4.65,73.08,0.0
2860,2017-01-26 10:00,0.75,54.49,1.17,-0.5,55.25,0.0
2861,2017-01-26 11:00,1.82,52.41,1.51,1.7,48.08,0.0
2862,2017-01-26 12:00,2.86,52.44,1.74,1.97,54.15,0.0
2863,2017-01-26 13:00,3.68,53.05,1.9,2.7,55.59,0.0
2864,2017-01-26 14:00,4.57,52.81,2.01,3.22,55.34,0.0
2865,2017-01-26 15:00,5.18,53.66,2.12,4.02,54.7,0.0
2866,2017-01-26 16:00,5.36,54.46,2.2,3.99,58.12,0.0
2867,2017-01-26 17:00,5.33,57.05,2.66,3.28,65.32,0.0
2868,2017-01-26 18:00,5.24,59.95,2.66,2.89,70.18,0.0
2869,2017-01-26 19:00,5.21,62.79,2.58,2.43,73.96,0.0
2870,2017-01-26 20:00,5.24,64.16,2.58,2.4,74.66,0.0
2871,2017-01-26 21:00,5.42,64.8,2.74,3.62,73.02,0.0
2872,2017-01-26 22:00,5.7,66.64,2.85,3.28,76.59,0.0
2873,2017-01-26 23:00,5.7,68.32,2.96,4.63,76.62,0.0
2874,2017-01-27 0:00,6.09,70.51,3.35,4.51,75.52,0.0
2875,2017-01-27 1:00,6.37,72.04,3.5,4.54,83.12,0.0
2876,2017-01-27 2:00,7.01,78.79,4.26,4.96,82.3,0.0
2877,2017-01-27 3:00,6.55,72.89,4.22,3.28,72.77,0.0
2878,2017-01-27 4:00,5.6,61.72,3.92,2.46,67.19,0.0
2879,2017-01-27 5:00,4.57,49.66,3.42,1.09,52.69,0.0
2880,2017-01-27 6:00,4.35,44.9,3.54,0.69,49.11,0.0
2881,2017-01-27 7:00,3.86,44.9,3.19,-0.01,51.77,0.0
2882,2017-01-27 8:00,3.65,44.11,3.27,-0.38,50.34,0.0
2883,2017-01-27 9:00,3.83,41.58,3.35,3.41,38.58,0.0
2884,2017-01-27 10:00,4.08,37.67,3.73,4.72,30.22,0.0
2885,2017-01-27 11:00,4.23,33.76,3.54,5.91,22.8,0.0
2886,2017-01-27 12:00,4.9,31.35,4.03,1.91,33.97,0.0
2887,2017-01-27 13:00,4.9,31.53,4.03,0.11,36.9,0.0
2888,2017-01-27 14:00,4.84,32.88,4.03,-0.41,43.1,0.0
2889,2017-01-27 15:00,5.02,32.81,4.03,-0.35,43.28,0.0
2890,2017-01-27 16:00,4.96,32.94,4.22,-0.5,41.7,0.0
2891,2017-01-27 17:00,4.63,31.29,4.07,-0.35,42.28,0.0
2892,2017-01-27 18:00,4.17,35.2,3.8,-0.62,44.41,0.0
2893,2017-01-27 19:00,3.96,35.5,3.92,-0.81,42.25,0.0
