,plant1_train_mea_ddhr,plant1_train_tem_in_loc2,plant1_train_hum_in_loc2,plant1_train_tem_coil_loc2,plant1_train_tem_out_loc1,plant1_train_hum_out_loc1,24hour_cond_loc2
2250,2017-01-01 0:00,5.7,70.33,3.65,2.09,83.73,0.0
2251,2017-01-01 1:00,5.51,71.15,3.54,2.25,85.13,0.0
2252,2017-01-01 2:00,5.33,72.89,3.84,2.16,86.05,0.0
2253,2017-01-01 3:00,5.36,73.5,3.69,2.28,85.01,0.0
2254,2017-01-01 4:00,5.15,73.84,3.8,1.88,85.84,0.0
2255,2017-01-01 5:00,4.93,73.26,3.77,1.48,86.63,0.0
2256,2017-01-01 6:00,4.93,72.89,3.69,1.48,85.93,0.0
2257,2017-01-01 7:00,4.66,72.59,3.69,1.36,85.71,0.0
2258,2017-01-01 8:00,4.54,73.11,3.69,1.42,86.66,0.0
2259,2017-01-01 9:00,4.78,73.23,3.73,2.58,81.29,0.0
2260,2017-01-01 10:00,5.36,73.6,3.77,3.07,82.57,0.0
2261,2017-01-01 11:00,6.03,73.53,3.96,5.7,74.27,0.0
2262,2017-01-01 12:00,7.07,71.98,3.92,8.44,62.06,1.0
2263,2017-01-01 13:00,7.83,70.82,4.11,9.05,62.3,1.0
2264,2017-01-01 14:00,8.41,66.94,4.41,10.0,53.33,0.0
2265,2017-01-01 15:00,9.05,61.97,4.64,9.63,55.59,0.0
2266,2017-01-01 16:00,9.33,61.51,4.53,9.36,56.99,0.0
2267,2017-01-01 17:00,9.63,60.32,4.72,8.63,61.54,0.0
2268,2017-01-01 18:00,9.6,61.48,4.72,7.8,64.47,0.0
2269,2017-01-01 19:00,9.33,62.48,4.83,6.98,69.02,0.0
2270,2017-01-01 20:00,8.81,64.77,4.68,6.25,73.69,0.0
2271,2017-01-01 21:00,8.26,66.15,4.8,4.23,76.92,0.0
2272,2017-01-01 22:00,7.74,67.49,4.72,4.51,78.33,0.0
2273,2017-01-01 23:00,7.47,67.86,4.68,4.32,80.89,0.0
2274,2017-01-02 0:00,7.56,68.16,4.83,4.47,78.75,0.0
2275,2017-01-02 1:00,7.44,68.44,4.83,4.93,77.05,0.0
2276,2017-01-02 2:00,6.95,69.29,4.99,3.65,80.16,0.0
2277,2017-01-02 3:00,6.7,69.44,4.91,3.22,82.75,0.0
2278,2017-01-02 4:00,6.73,70.82,4.99,4.23,80.19,0.0
2279,2017-01-02 5:00,6.67,71.43,4.95,3.65,81.68,0.0
2280,2017-01-02 6:00,6.67,70.85,5.02,3.65,81.26,0.0
2281,2017-01-02 7:00,6.52,72.25,4.99,3.62,83.46,0.0
2282,2017-01-02 8:00,6.43,73.57,4.99,3.47,86.02,0.0
2283,2017-01-02 9:00,6.52,74.79,5.02,4.44,83.21,0.0
2284,2017-01-02 10:00,7.37,75.12,5.25,8.35,68.04,0.0
2285,2017-01-02 11:00,8.53,75.06,5.37,13.27,51.89,0.0
2286,2017-01-02 12:00,9.15,75.64,5.41,9.6,68.44,0.0
2287,2017-01-02 13:00,9.6,73.29,5.63,9.21,68.28,0.0
2288,2017-01-02 14:00,10.27,68.07,5.79,9.51,61.51,0.0
2289,2017-01-02 15:00,10.27,66.58,5.67,9.33,64.35,0.0
2290,2017-01-02 16:00,10.31,65.81,5.79,9.02,66.33,0.0
2291,2017-01-02 17:00,10.43,66.45,5.86,8.38,71.28,0.0
2292,2017-01-02 18:00,10.24,66.76,5.86,8.05,71.7,0.0
2293,2017-01-02 19:00,10.12,64.99,5.9,7.92,67.37,0.0
2294,2017-01-02 20:00,10.0,64.22,6.02,7.13,71.34,0.0
2295,2017-01-02 21:00,9.66,64.68,6.05,6.46,74.48,0.0
2296,2017-01-02 22:00,9.42,65.14,6.02,6.0,75.09,0.0
2297,2017-01-02 23:00,9.05,65.51,6.05,6.03,74.18,0.0
2298,2017-01-03 0:00,8.78,65.93,6.13,5.18,75.58,0.0
2299,2017-01-03 1:00,8.47,63.71,6.09,4.81,73.5,0.0
2300,2017-01-03 2:00,8.08,63.86,6.09,4.32,75.18,0.0
2301,2017-01-03 3:00,7.8,60.68,6.02,4.05,66.76,0.0
2302,2017-01-03 4:00,7.41,59.55,6.13,3.38,67.77,0.0
2303,2017-01-03 5:00,7.04,57.57,5.98,3.38,64.99,0.0
2304,2017-01-03 6:00,6.67,57.11,5.83,1.0,74.97,0.0
2305,2017-01-03 7:00,5.91,58.46,5.79,0.51,77.81,0.0
2306,2017-01-03 8:00,5.48,59.62,5.71,0.02,80.22,0.0
2307,2017-01-03 9:00,5.36,60.59,5.63,1.61,74.27,0.0
2308,2017-01-03 10:00,6.03,59.95,5.56,5.97,55.83,0.0
2309,2017-01-03 11:00,7.1,58.15,5.9,9.05,44.69,0.0
2310,2017-01-03 12:00,8.2,54.64,6.09,9.45,45.33,0.0
2311,2017-01-03 13:00,8.84,51.25,6.25,8.63,48.38,0.0
2312,2017-01-03 14:00,8.99,54.3,6.17,6.4,60.81,0.0
2313,2017-01-03 15:00,9.27,54.98,6.17,6.7,62.91,0.0
2314,2017-01-03 16:00,9.82,51.89,6.44,6.98,56.11,0.0
2315,2017-01-03 17:00,9.6,50.73,6.55,6.61,56.2,0.0
2316,2017-01-03 18:00,9.36,50.79,6.59,5.97,58.61,0.0
2317,2017-01-03 19:00,8.87,51.89,6.59,4.38,66.58,0.0
2318,2017-01-03 20:00,7.8,54.46,6.44,2.19,75.18,0.0
2319,2017-01-03 21:00,7.13,56.59,6.25,2.03,75.92,0.0
2320,2017-01-03 22:00,6.83,58.12,6.25,2.12,74.63,0.0
2321,2017-01-03 23:00,6.46,59.77,6.28,2.12,75.55,0.0
2322,2017-01-04 0:00,6.18,60.56,6.17,2.43,74.24,0.0
2323,2017-01-04 1:00,5.85,61.32,6.25,1.24,78.24,0.0
2324,2017-01-04 2:00,5.76,62.42,6.09,1.88,79.61,0.0
2325,2017-01-04 3:00,5.7,65.11,5.98,1.91,80.46,0.0
2326,2017-01-04 4:00,5.91,66.58,5.98,2.86,78.33,0.0
2327,2017-01-04 5:00,6.03,67.74,5.9,2.95,80.28,0.0
2328,2017-01-04 6:00,6.37,70.15,6.17,3.25,80.95,0.0
2329,2017-01-04 7:00,6.21,70.54,5.98,2.95,82.3,0.0
2330,2017-01-04 8:00,6.06,70.18,6.09,2.55,83.18,0.0
2331,2017-01-04 9:00,6.09,69.99,5.94,3.28,81.5,0.0
2332,2017-01-04 10:00,6.79,68.62,6.05,6.34,68.16,0.0
2333,2017-01-04 11:00,7.65,68.77,6.13,10.73,53.14,0.0
2334,2017-01-04 12:00,8.57,68.38,6.25,8.17,64.65,0.0
2335,2017-01-04 13:00,9.15,64.29,6.32,7.89,61.29,0.0
2336,2017-01-04 14:00,9.69,56.38,6.44,8.11,60.93,0.0
2337,2017-01-04 15:00,9.66,46.4,6.7,7.5,49.51,0.0
2338,2017-01-04 16:00,9.76,44.9,6.74,7.1,49.6,0.0
2339,2017-01-04 17:00,9.6,44.54,6.7,6.73,49.63,0.0
2340,2017-01-04 18:00,9.33,46.61,6.63,6.49,52.32,0.0
2341,2017-01-04 19:00,9.05,48.08,6.74,6.73,54.06,0.0
2342,2017-01-04 20:00,8.99,47.62,6.97,7.01,52.63,0.0
2343,2017-01-04 21:00,8.9,48.35,6.97,6.49,54.18,0.0
2344,2017-01-04 22:00,8.57,47.04,6.78,5.57,51.53,0.0
2345,2017-01-04 23:00,8.2,46.58,6.86,5.18,51.28,0.0
2346,2017-01-05 0:00,7.83,45.7,6.78,4.84,51.89,0.0
2347,2017-01-05 1:00,7.71,47.28,6.67,4.57,54.15,0.0
2348,2017-01-05 2:00,7.47,48.93,6.74,4.26,56.41,0.0
2349,2017-01-05 3:00,7.31,48.08,6.74,3.47,58.33,0.0
2350,2017-01-05 4:00,6.86,48.63,6.63,2.83,60.1,0.0
2351,2017-01-05 5:00,6.61,48.41,6.67,2.64,59.95,0.0
2352,2017-01-05 6:00,6.37,52.29,6.51,2.67,64.65,0.0
2353,2017-01-05 7:00,5.97,56.47,6.44,2.52,68.5,0.0
