,plant1_train_mea_ddhr,plant1_train_tem_in_loc3,plant1_train_hum_in_loc3,plant1_train_tem_coil_loc3,plant1_train_tem_out_loc1,plant1_train_hum_out_loc1,24hour_cond_loc3
2200,2016-12-29 22:00,2.58,50.27,2.12,-0.68,58.06,0.0
2201,2016-12-29 23:00,2.06,52.72,2.01,-1.72,62.52,0.0
2202,2016-12-30 0:00,1.42,50.79,1.86,-2.55,59.55,0.0
2203,2016-12-30 1:00,1.15,47.92,1.78,-3.0,56.75,0.0
2204,2016-12-30 2:00,0.6,46.92,1.55,-3.64,55.74,0.0
2205,2016-12-30 3:00,0.17,47.71,1.4,-3.95,57.75,0.0
2206,2016-12-30 4:00,-0.32,45.6,1.4,-4.38,53.97,0.0
2207,2016-12-30 5:00,-0.35,43.53,1.21,-4.41,49.02,0.0
2208,2016-12-30 6:00,-0.78,45.27,1.13,-5.38,57.72,0.0
2209,2016-12-30 7:00,-1.48,51.34,0.83,-6.39,69.14,0.0
2210,2016-12-30 8:00,-1.69,49.63,0.79,-6.15,61.2,0.0
2211,2016-12-30 9:00,-1.29,51.86,0.71,-0.96,46.73,0.0
2212,2016-12-30 10:00,-0.68,49.63,0.71,0.78,37.94,0.0
2213,2016-12-30 11:00,0.23,41.58,1.02,2.22,27.11,0.0
2214,2016-12-30 12:00,1.18,38.86,1.02,0.81,32.75,0.0
2215,2016-12-30 13:00,2.22,38.92,1.13,1.06,37.0,0.0
2216,2016-12-30 14:00,2.77,43.53,1.29,1.58,43.1,1.0
2217,2016-12-30 15:00,3.65,45.09,1.44,2.49,44.78,1.0
2218,2016-12-30 16:00,3.89,48.05,1.48,2.28,49.6,1.0
2219,2016-12-30 17:00,3.8,51.31,1.4,1.39,56.07,1.0
2220,2016-12-30 18:00,3.28,53.11,1.44,0.78,59.16,0.0
2221,2016-12-30 19:00,3.13,55.95,1.4,0.42,61.45,0.0
2222,2016-12-30 20:00,2.86,59.4,1.44,-0.16,67.06,0.0
2223,2016-12-30 21:00,2.67,62.03,1.4,0.23,69.17,0.0
2224,2016-12-30 22:00,2.64,64.93,1.36,0.51,71.67,0.0
2225,2016-12-30 23:00,2.64,66.67,1.44,0.69,71.09,0.0
2226,2016-12-31 0:00,2.58,65.93,1.44,0.63,70.76,0.0
2227,2016-12-31 1:00,2.49,67.55,1.44,0.32,73.41,0.0
2228,2016-12-31 2:00,2.64,68.41,1.48,0.66,74.57,0.0
